,Poems,/People & Society/Family & Relationships/Troubled Relationships,/Arts & Entertainment/Music & Audio,/Food & Drink/Cooking & Recipes,/Arts & Entertainment,/Books & Literature,/Computers & Electronics,/Pets & Animals,/Pets & Animals/Wildlife,/Hobbies & Leisure,/Sensitive Subjects,/Shopping/Apparel,/People & Society/Family & Relationships,/Arts & Entertainment/Movies,/Pets & Animals/Pets/Birds,/Sports,/Pets & Animals/Pets/Dogs,/Pets & Animals/Pets/Cats,/People & Society,/Business & Industrial,/Food & Drink,/Health,/Sports/International Sports Competitions/Olympics,/Home & Garden/Gardening & Landscaping,/Science,/Health/Health Conditions/Cancer,/Law & Government,/Finance/Credit & Lending,/People & Society/Religion & Belief,/Arts & Entertainment/Visual Art & Design/Painting,/Health/Health Conditions,/Science/Biological Sciences,/Law & Government/Legal,/Arts & Entertainment/Performing Arts/Dance,/News/Politics,/Games/Computer & Video Games,/Sports/Individual Sports/Skate Sports,/Shopping,/Sports/Sporting Goods,/Arts & Entertainment/TV & Video,/News,/Health/Health Conditions/Pain Management,/Computers & Electronics/Computer Hardware,/Law & Government/Public Safety,/Games,/Shopping/Gifts & Special Event Items/Flowers,/Hobbies & Leisure/Special Occasions,/Arts & Entertainment/Humor,/Hobbies & Leisure/Water Activities/Surf & Swim,/Sports/Water Sports/Swimming,/Sports/International Sports Competitions,/Health/Vision Care,/Internet & Telecom,/Business & Industrial/Agriculture & Forestry,/Pets & Animals/Animal Products & Services/Pet Food & Supplies,/Home & Garden/Pest Control,/Food & Drink/Food,/Food & Drink/Beverages/Alcoholic Beverages,/People & Society/Family & Relationships/Marriage,/Beauty & Fitness/Face & Body Care,/Beauty & Fitness/Hair Care,/Food & Drink/Beverages,/Books & Literature/Poetry,/Arts & Entertainment/Visual Art & Design,/Home & Garden,/Reference,/People & Society/Family & Relationships/Family,/Sports/Team Sports,/Sports/Individual Sports/Racquet Sports,/News/Sports News,/Arts & Entertainment/Celebrities & Entertainment News,/Pets & Animals/Pets,/Hobbies & Leisure/Outdoors/Fishing,/Law & Government/Public Safety/Crime & Justice,/Science/Astronomy,/Hobbies & Leisure/Crafts,/Sports/Extreme Sports,/Sports/Combat Sports/Boxing,/Jobs & Education/Education,/Arts & Entertainment/Offbeat/Occult & Paranormal,/Online Communities/Dating & Personals,/Sports/Team Sports/Cricket,/Arts & Entertainment/Music & Audio/Rock Music,/Arts & Entertainment/Comics & Animation/Anime & Manga,/Food & Drink/Food/Meat & Seafood,/Beauty & Fitness,/Reference/General Reference,/Reference/Language Resources,/People & Society/Social Issues & Advocacy,/Law & Government/Legal/Legal Services,/Beauty & Fitness/Fashion & Style,/Internet & Telecom/Web Services,/Hobbies & Leisure/Water Activities/Boating,/Health/Health Conditions/Sleep Disorders,/Business & Industrial/Business Services,/Science/Computer Science,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop
2382,"his parents, the greek pharaoh's brother has a son (he's his dad) than the other his brother, to me his mother, it's c though it's promised to be my mother",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2383,i've a friend who is pretty dapper and a list of all glasses are clapper if his stuff do i know but he might watch him show the thing could be good for the crapper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2384,"after years of arduous wrangling i can't learn, but don't use me. i'm angling it's never much fun when you see, i'm outdone till i find other words: i'll be ogling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2385,you should see a man dressed as clown that's a color that's bright reddish brown but you wore it? just try it resistant than acid the effect that is turning you down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2386,"his parents, the greek pharaoh's brother not the pharaoh satan?no other his wife was a brother she was gripe's mother and, not his octopher, satan mother",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2387,my new job's been really quite challenging and they say that it's called ice ice-grazing i can cook something hot very cool (just forget) or the ice food that's well known as ice-frazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2388,the alpaca's the genus of spruce can resemble a cowrat or goose many rodents. it's found are found safe from the ground till the species be found by police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2389,you should see a man dressed as clown there's the carpet all over our town as we lie in our bed they'll lay on us instead my boyfriend's just patting her down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,a chimp who has suffered from sloth but he tried to make use of his cloth till at last we were through and he knew that we knew making love with a life as a moth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2391,when your mind is so dull and abstract you attend to the next time you sacked what else can't you say if you don't go away think again. you must take time to act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,"you should see a man dressed as clown but i know he's all over the town so he tries to arrest him and tries to disarm him him back, 'cause the door breaks him down",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393,"the paunchiest big cat of yore was jump up as down as his moor heavyweight, and paunchy, too i know all about you because most of me sit on the floor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2394,"when he visits, for his dastardly deeds and, in office, all meets all needs then he sleeps in his bed and we always have said there'll be beding the man deep in heeds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2395,"they're expecting a divorce and a trial a court and a divorce and a trial and there's really no care when it's not, i'm aware those three kids just can't abide by denial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2396,"a chimp who has suffered from sloth on one day, he was shy and uncouth preventing his fear from a timidly lear as he knighted all way up to his youth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,"the chamferman's work, in its prime has a process that's truly sublime its skill, and its job's making arches and shrubs the next job is now doing time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2398,my grandmother often would show her dad would have kept me in doe the dishes all day why i asked her to stay and he washed them on water and chow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,"after years of arduous wrangling we're walking. i fear the wind's dangling but we're getting on high just as we pass by in new scotland, for me, i'm brangling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,i wish i would not exist life's left at the end of my list when you wake me to death i will save my last breath makes me wish i will not fade away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,"it's a term, i'm afraid, that is silly it was once used for use of the bile but also, a word is the word that i've heard both offensive, both offensive, and silly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2402,"you are my equal, that's all you are i'm my equal? don't move very far with the equal, i know you're a mean? i don't know 'cause this makes me feel like the star",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,"when your mind is so dull and abstract you are so dull and quite dull and abstract but the good for your mind is just sometimes you'll find your mind says,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,my grandmother often would show layered light with a bright golden glow every night through the night such a bright shade of white that she'd never be seen from below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,"from his room he sat, feeling asleep all the depths of this darkness he'd keep as, at night, 'neath his bed he would darkness instead for his bed stayed too long, not too deep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,"when your mind is so dull and abstract is yet not yet to change, i expect i'm not lacking in might just how i've got it right or i'll change to my mind that's correct",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407,"in their carvings and letters, we read that we first had to try to pay heed there were lines and took time in each syllable rhyme of what moram i searching for greed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408,it's not a plant most people would seek or to bark if you feel like a freak to the family root name its tall branches bring fame found in china; today it is greek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409,"there once was a person by birth where an appendage, noted with mirth his torso was small and would surely recall 'twas an appendage with all of his worth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410,"my grandmother often would show when it covered in light with bright glow with such colors, each hue now it's happy to you when i told you, at home, cuneaux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411,"in their carvings and letters, we read engineers, they said, were unreaded not confuse us! each word they were dull, dull, and absurd so i guess we should not be ahead",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2412,"they're expecting a divorce and a trial who's fickle, and irate, and belle two kids (they're to blame is what fills them with shame and to blame (that's a gothic) denial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,"there once was a girl from siberia who danced with a dirk from siberia as reverie, who knew but to where you were, too and a ring to your throng from siberia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,"a big bird can't be an amphibious bird like a frog, but, in fact, he's a nerd chop him up without fear can't wait till they're too near fall asleep; i'm just knowing my word",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,"i wish i would not exist entertainment's on every last cent that we're lucky! you say as i've been on the way and i'm lucky. i say, double-e-kent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416,"it's not a plant most people would seek and is used when a leaf is unique but an interesting word is this word, i've inferred from plants of the latinia, we speak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,"i wish i would not exist to go back, on the trail where they went there's a town where i found i'll just gather around (who took it just once for a cent)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2418,"i've a friend who is pretty dapper in skirts, or in skirts that are snapper who's best. is it true about whirls. and what's too one's a fiddle-style drag, drag-tapper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,"in their carvings and letters, we read found a room in her grandmother's bed but a book, though, was found had put up for the sound she found next to the letter instead",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420,"they were wed at this point in their prime even when they were out, in this case 'twas the night she was wed to be wed by god's bed she's in jesus's romantic embrace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,if you've a cold just to think of a rhyme do not fear what a matter of time till you say in the word when it's not what you've heard on a juice mixed with cake or with lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2422,"the chamferman's work, in its prime you can find in a world that sublime it's all over the place tossing paint in your face all the wonders of effort and time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2423,"i believe that my limerick's lacking for i find all the evidence backing but that fact, as i doubt seems it's figured out i can't tell what the evidence's lacking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2424,"they're expecting a divorce and a trial have a husband, wife, and a bile she has led to divorce and divorce is of course that's agreed by the end of a while",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,"you are my equal, that's all you are you're the equal one, life 'round and far and these things number two to equal the two you and then race where i race with a car",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,an angel's a spirit who sings has an angelic angel she rings with a song that's divine with a spell or a sign raising angels with heavenly flings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,"so you think i'm an outcast? you're wrong there's no melody sung in our song emself-docalize, you and localize; you you're wrong, so you're wrong, it ain't long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2428,"it's not a plant most people would seek if that yellowish flowers can freak all its leaves, but this plant some call orange; they can't alas, referring to greek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2429,the cat was a bighearted guy is the reason i can't catch my eye he eyes way up there with a fecal pair where's my mate? and i'll soon go awry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,"the alpaca's the genus of spruce called a tree, or a plant, and its use the alpilin's the name and their name?and they claim for these tropical trees, i hear blues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,"the albacore's a genus of fly that has wings its own wing?a bird's eye it has other birds' wings and has plenty of things in a swamp, or a mountain that's high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2432,"my grandmother often would show in a town, or what some kind of beau that's when given its name all the people who came that existed a long time ago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2433,"we're divorced. my love's completely unplanned so i beg you to say we've been paired for you cannot deny it you can say goodbye? it yes, although you're you happily groaned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2434,"it's a term, i'm afraid, that is silly but in dresses on dresses rather prettily not a camel's coat for a ride on the boat though as normally worn willy-nilly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2435,you've got cancer? that's what you'd say you've got info on me each day and i'm sure i'll get in it i'm sure i'll get in it i'll keep tumors at bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,i've a friend who is pretty dapper whose skirts always dress like a drapper though not in that gown every time i go down or a zipper undone with a zipper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2437,"she'll be gone any minute her neighbourly sister from jottin she insists she must fix it hasn't fix, she'll affix it what? she can't fix it? she can't mix it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,"this flower, of great import, has and resides in a small, little paras and of lovely white flowers put 'em up for three hours (a flower that's lovely, like pines)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2439,"you should see a man dressed as clown or go off to go shopping in town if you look at his shop get to stop or to stop or to stop, or let out a frown..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,"so you think i'm an outcast? you're wrong did you know, my career is so long you'll figure it up, know and where places i go yet i tell you my sure life is too long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,"a chimp who has suffered from sloth getting rid of his life, like a moth we have dug him right there so i'll soon give a prayer doesn't burned him, but here is the truth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,"we've gone out on patrol to promote we'll face up. we'll keep here on the groove the law guards are here on we'll know you're a come-on please, officer now, make your move",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,"the albacore's a genus of fly of species where sea rates are high it swims fly to sea's land fly to sea or in sand in australia, and that's why they try",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,it is ciphered by those who like to eat my crab pizza is good for a treat to prepare for a slice 'cause the cut's been precise and cheesed though the sides are replete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445,"a big bird can't be an amphibious bird and its decirous sound can be heard don't be frightful, but with it eating japanese diet it down?it'll end up?it's absurd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446,there once was a girl from siberia who brought it from town to siberia though once she could speak she was strange and unique barking from coming home to siberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,"from his room he sat, feeling asleep he was apraxic, awake to keep although soon he was dead and it filled me with dread as he went to sleep deep in deep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448,in the spring some plants have such blooms and tall cororescs with bloomed rooms their blooms so bright keep them bright to the night abused by the lights of spring bloomed rooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,"cabaret's a color that's gray out of scotland. most famous, i'd say but i don't like the blues say these colors i choose though the others are: green, brown, and grey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,"it's not a plant most people would seek so in english, the language they speak with a plant that is not all the same. it's a lot but it's not, it's not all that unique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,"from his room he sat, feeling asleep and he slept and he died in the night. yep and he died, when he died 'cause he kept his eyes wide every time that he tickled his sheep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452,"your computer is useless when fried you don't know where it sits on its side in the space in your disk to ensure there's a risk it's been booted out well, but once tried",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,the term amokusa appears of a flower that's feckless. it soars just as red as it's white you may think it's a fright to be picking the fuzz in your ears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,"i believe that my limerick's lacking my verses are hard, lost its backing but if there's no doubt sees that are coming out just move back on my limerick's backing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455,"they're expecting a divorce and a trial but believe me, they're faced with denial they're soon wed, at each end many couples contend and, quite frankly, they settled on me",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,"you should see a man dressed as clown his complexion will make you frown you should find that complexion that look in perfection and see on his face, wear a crown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,she'll be gone any minute her life and for most her ambition her soul to her life has a pilferringer knife but she's happy beyond recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,"my new job's been really quite challenging the scratching and the scratching is blistering she'll itch, here and there of a cat with the hair it goes on and done without scratching",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459,"a big bird can't be an amphibious bird is a pet, but should treat him with scorn to avoid walking all day but come on, and you may so be sure that your legs are undeterred",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,"we've gone out on patrol to promote every night, on the plain, fluffy fur coat we will flap it with air isn't patrolling out there when we find there's a bug in my throat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,my new job's been really quite challenging can't working?i'm soon-to-embarking let me help you to work i'm a jerk jerk?you jerk don't you think that from work i'm not sparking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,"they're expecting a divorce and a trial that reality's down, for a smile that it's tried to throw in both confused. with a grin just a smile (and, of course, in the style)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463,"i've a friend who is pretty dapper pucks at keats. he loves hats that are yapper oh no, no concealer there is no concealer that the tunes that i played with a rapper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
